"26883";"World Wide Web"
"26884";"Standards"
"26885";"Web Portal"
"26886";"Data assimilation"
"26887";"Observation model"
"26888";"Process model"
"26889";"Retrievability"
"26890";"Observable"
"26891";"Data format"
"26892";"Unit conversion"
"26893";"Levels of spatial aggregation"
"26894";"Co-registration"
"26895";"Sampling interval"
"26896";"Scales of processes and observations"
"26897";"Requirements of data integration"
"26898";"Earth system processes"
"26899";"GEOSS"
"26900";"Mismatching in data layers"
"26901";"Interaction of electromagnetic radiation with matter"
"26902";"Interaction of atmosphere and EM radiation"
"26903";"Atmospheric scattering"
"26904";"Mission"
